1	-86.171	116.880	196.500			
2	-86.171	116.880	187.100			
3	-86.171	116.880	178.400			
4	-86.171	116.880	169.000			
5	-86.171	116.880	160.300			
6	-86.171	116.880	150.900			
7	-86.171	116.880	140.000			
8	-86.171	116.880	130.600			
9	-86.171	116.880	121.900			
10	-86.171	116.880	112.500			
11	-86.171	116.880	103.800			
12	-86.171	116.880	94.400			
13	-86.171	116.880	83.500			
14	-86.171	116.880	74.100			
15	-86.171	116.880	65.400			
16	-86.171	116.880	56.000			
17	-86.171	116.880	47.300			
18	-86.171	116.880	37.900			
19	-74.645	99.089	196.500			
20	-74.645	99.089	187.100			
21	-74.645	99.089	178.400			
22	-74.645	99.089	169.000			
23	-74.645	99.089	160.300			
24	-74.645	99.089	150.900			
25	-74.645	99.089	140.000			
26	-74.645	99.089	130.600			
27	-74.645	99.089	121.900			
28	-74.645	99.089	112.500			
29	-74.645	99.089	103.800			
30	-74.645	99.089	94.400			
31	-74.645	99.089	83.500			
32	-74.645	99.089	74.100			
33	-74.645	99.089	65.400			
34	-74.645	99.089	56.000			
35	-74.645	99.089	47.300			
36	-74.645	99.089	37.900			
37	-64.171	116.880	196.500			
38	-64.171	116.880	187.100			
39	-64.171	116.880	178.400			
40	-64.171	116.880	169.000			
41	-64.171	116.880	160.300			
42	-64.171	116.880	150.900			
43	-64.171	116.880	140.000			
44	-64.171	116.880	130.600			
45	-64.171	116.880	121.900			
46	-64.171	116.880	112.500			
47	-64.171	116.880	103.800			
48	-64.171	116.880	94.400			
49	-64.171	116.880	83.500			
50	-64.171	116.880	74.100			
51	-64.171	116.880	65.400			
52	-64.171	116.880	56.000			
53	-64.171	116.880	47.300			
54	-64.171	116.880	37.900			
55	-53.872	98.766	196.500			
56	-53.872	98.766	187.100			
57	-53.872	98.766	178.400			
58	-53.872	98.766	169.000			
59	-53.872	98.766	160.300			
60	-53.872	98.766	150.900			
61	-53.872	98.766	140.000			
62	-53.872	98.766	130.600			
63	-53.872	98.766	121.900			
64	-53.872	98.766	112.500			
65	-53.872	98.766	103.800			
66	-53.872	98.766	94.400			
67	-53.872	98.766	83.500			
68	-53.872	98.766	74.100			
69	-53.872	98.766	65.400			
70	-53.872	98.766	56.000			
71	-53.872	98.766	47.300			
72	-53.872	98.766	37.900			
